发布时间,正文
2014-03-23 23:18:00,$科华生物(SZ002022)$ 比较看好该股，具体原因就不说那么细了，个人觉得该股涨到30是最基本的目标，后面。。。呵呵 @Oo小左@郑钱花花@Alex_ai@milesyu
2014-03-26 08:39:00,再好的股，涨得多了也会休息的，先看到30，我会在28左右开始关注，考虑一下。
2014-03-26 08:50:00,在多说一句吧，$特斯拉电动车(TSLA)$ 看好的人这么多，市场这么大，在美国牛市背景下，也在去年涨了6倍左右被做空 ，跌了很多， 你$三泰电子(SZ002312)$涨幅也有6倍左右了，在顶部还看多，我只能表示，慢慢熬吧。好运。
2014-03-26 09:27:00,呵呵，你咋不说07年牛市的时候更多呢
2014-03-26 15:43:00,呵呵，今天放量跌停，有的玩了，这股从2011年初，4块多钱到现在不止6倍了。继续吹这个泡泡吧。最高点40左右这个地方在翻一倍，也就是80，从4块算起也有20倍了。a股市场又有几个能2-3年内涨20倍的呢。继续博傻吧。 你们发这种帖子的时候，对散户的误导是最可恨的，要知道散户最差的就是仓位控制。听了你们的话，高位满仓接盘做长线，最后熬不过时间，低位割肉，只能是遍体鳞伤。
2014-03-27 00:16:00,"$三泰电子(SZ002312)$ 好股票不表示永远都一直涨,不会调，$特斯拉电动车(TSLA)$ 去年从33，经过半年时间涨到190多，差不多6倍，然后被做空机构做空，一路跌倒110左右才企稳，现在$三泰电子(SZ002312)$ 从去年6月底，6.5左右，到最高点39.5也差不多6倍，短期也遭到做空机构做空，会跌倒哪里去呢？ 我发这个讨论的目的不是看多或者看空2312，只是客观评论一下，可能经过这个调整后，2312会和tsla一样，再出新高。但是经过3月26日放量跌停看，短期调整的趋势已经无法避免了。估计要2-3个月时间盘整，如果在盘整的过程中，他的模式被市场慢慢认可，那还会继续慢慢走高，出新的高点。 实际上跌下来也好，让更多看好该股的人，前面没来得及关注的人，第二次上车的机会，而前面长期关注了该股，成本较低的乘客不要太介意，有钱大家一起赚。不要坏了心情。 调整的位置不好判断。第一目标应该是55均线，只能说看好该股的人，可以选择适合的价格就上车吧。 @Oo小左@郑钱花花@Alex_ai@milesyu $三泰电子(SZ002312)$ 好股票不表示永远都一直涨,不会调，$特斯拉电动车(TSLA)$ 去年从33，经过半年时间涨到190多，差不多6倍，然后被做空机构做空，一路跌倒110左右才企稳，现在$三泰电子(SZ002312)$ 从去年6月底，6.5左右，到最高点39.5也差不多6倍，短期也遭到做空机构做空，会跌倒哪里去呢..."
2014-03-27 18:27:00,仓位理解（一）--三泰电子的价值投资 最近$三泰电子(SZ002312)$ 的暴跌，正好有机会去看了一些价值投资的人，怎么评价和度过这个节骨眼的。 结合最近我对仓位的理解又有了新的理解，对这个事情看的更加明白了，特别是觉得巴菲特的长线价值投资不完全是基本面的结合，实际上就像很多价值投资人来说，认为$三泰电子(SZ002312)$ 基本面...
2014-03-27 18:39:00,$长信科技(SZ300088)$ 这一季度的业绩预告，是要作死的准备。
2014-03-27 18:44:00,高位低位自己去判断吧，至少我知道，作为价值投资的巴菲特不会在一个股暴涨接近10倍后买入。
2014-03-27 18:54:00,呵呵，我们不要扯远了。如何判断2312是不是合理价位，是高是底，不是本文的重点。
